name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,clusters,centroid
K2-137 b,323.0,15.94,Terrestrial,2017,0.5,Jupiter,0.64,Earth,0.0058,0.0005475702,0.0,Transit,2,[564.23182711]
KOI-55 b,4016.0,15.154,Terrestrial,2011,0.44,Earth,0.759,Earth,0.006,0.0005475702,0.0,Orbital Brightness Modulation,1,[5102.68080808]
KOI-55 b,4016.0,15.154,Terrestrial,2011,0.44,Earth,0.759,Earth,0.006,0.0005475702,0.0,Orbital Brightness Modulation,1,[5102.68080808]
KOI-55 c,4016.0,15.154,Terrestrial,2011,0.655,Earth,0.867,Earth,0.0076,0.00082135526,0.0,Orbital Brightness Modulation,1,[5102.68080808]
Kepler-1604 b,1765.0,15.224,Super Earth,2016,2.57,Earth,1.41,Earth,0.0089,0.0019164955,0.0,Transit,0,[2568.35918367]
K2-22 b,795.0,15.565,Neptune-like,2015,1.4,Jupiter,0.205,Jupiter,0.009,0.0010951404,0.19,Transit,2,[564.23182711]
GJ 1252 b,66.0,12.68,Super Earth,2020,1.32,Earth,1.18,Earth,0.00915,0.0013689254,0.0,Transit,2,[564.23182711]
TOI-1685 b,123.0,13.378,Super Earth,2021,3.78,Earth,1.7,Earth,0.011557,0.0019164955,0.0,Transit,2,[564.23182711]
TOI-1075 b,200.0,12.615,Super Earth,2022,9.95,Earth,1.791,Earth,0.01159,0.0016427105,0.0,Transit,2,[564.23182711]
LHS 1678 b,65.0,12.6,Terrestrial,2021,0.35,Earth,0.696,Earth,0.01251,0.0024640656,0.25,Transit,2,[564.23182711]
Kepler-1107 b,1399.0,14.315,Super Earth,2016,2.36,Earth,1.34,Earth,0.0126,0.0016427105,0.0,Transit,2,[564.23182711]
Kepler-1873 b,2678.0,15.889,Super Earth,2021,3.28,Earth,1.626,Earth,0.0128,0.0016427105,0.0,Transit,0,[2568.35918367]
Kepler-1317 b,2376.0,15.083,Super Earth,2016,3.05,Earth,1.56,Earth,0.0128,0.0016427105,0.0,Transit,0,[2568.35918367]
K2-320 b,355.0,17.81,Neptune-like,2020,7.37,Earth,0.234,Jupiter,0.0142,0.0054757018,0.0,Transit,2,[564.23182711]
WASP-43 b,283.0,12.305,Gas Giant,2011,1.78,Jupiter,0.93,Jupiter,0.0142,0.0021902807,0.0,Transit,2,[564.23182711]
Kepler-1415 b,3404.0,15.937,Super Earth,2016,2.21,Earth,1.29,Earth,0.0144,0.0016427105,0.0,Transit,0,[2568.35918367]
Kepler-1310 b,1857.0,14.346,Super Earth,2016,2.67,Earth,1.44,Earth,0.0148,0.0019164955,0.0,Transit,0,[2568.35918367]
GJ 1214 b,48.0,15.1,Neptune-like,2009,8.17,Earth,0.245,Jupiter,0.0149,0.0043805614,0.063,Transit,2,[564.23182711]
K2-156 b,490.0,13.4,Super Earth,2018,1.37,Earth,1.1,Earth,0.0149,0.0021902807,0.0,Transit,2,[564.23182711]
Kepler-1368 b,5336.0,15.914,Super Earth,2016,3.36,Earth,1.65,Earth,0.0153,0.0019164955,0.0,Transit,1,[5102.68080808]
TOI-849 b,736.0,11.981,Gas Giant,2020,39.09,Earth,0.307,Jupiter,0.01598,0.0021902807,0.0,Transit,2,[564.23182711]
Kepler-1067 b,2178.0,14.395,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0162,0.0021902807,0.0,Transit,0,[2568.35918367]
Kepler-1320 b,2112.0,15.936,Super Earth,2016,3.53,Earth,1.7,Earth,0.0163,0.0024640656,0.0,Transit,0,[2568.35918367]
YZ Ceti b,12.0,12.074,Terrestrial,2017,0.7,Earth,0.913,Earth,0.01634,0.0054757018,0.06,Radial Velocity,2,[564.23182711]
LTT 9779 b,262.0,9.79,Neptune-like,2020,29.32,Earth,0.421,Jupiter,0.01679,0.0021902807,0.0,Transit,2,[564.23182711]
Kepler-845 b,1406.0,14.903,Super Earth,2016,4.82,Earth,2.04,Earth,0.017,0.0024640656,0.0,Transit,2,[564.23182711]
Kepler-1167 b,2678.0,16.047,Super Earth,2016,3.57,Earth,1.71,Earth,0.0175,0.0027378509,0.0,Transit,0,[2568.35918367]
HD 20329 b,208.0,8.76,Super Earth,2022,7.42,Earth,1.72,Earth,0.018,0.0024640656,0.0,Transit,2,[564.23182711]
Kepler-1559 b,2006.0,14.549,Terrestrial,2016,0.299,Earth,0.72,Earth,0.018,0.0027378509,0.0,Transit,0,[2568.35918367]
HD 3167 b,154.0,8.97,Super Earth,2016,4.73,Earth,1.627,Earth,0.01802,0.0027378509,0.1,Transit,2,[564.23182711]
Kepler-1322 b,4405.0,15.876,Super Earth,2016,3.22,Earth,1.61,Earth,0.0183,0.0027378509,0.0,Transit,1,[5102.68080808]
Kepler-658 b,1267.0,16.44,Super Earth,2016,3.29,Earth,1.63,Earth,0.0188,0.003559206,0.0,Transit,2,[564.23182711]
Kepler-1200 b,1920.0,16.06,Super Earth,2016,1.2,Earth,1.06,Earth,0.0188,0.003011636,0.0,Transit,0,[2568.35918367]
GJ 9827 b,97.0,10.37,Super Earth,2017,4.91,Earth,1.577,Earth,0.0188,0.003285421,0.0,Transit,2,[564.23182711]
Kepler-757 b,3486.0,15.066,Super Earth,2016,2.42,Earth,1.36,Earth,0.019,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-929 b,4277.0,14.738,Super Earth,2016,1.41,Earth,1.11,Earth,0.0192,0.0024640656,0.0,Transit,1,[5102.68080808]
Kepler-1427 b,3980.0,15.601,Super Earth,2016,1.37,Earth,1.1,Earth,0.0197,0.0027378509,0.0,Transit,1,[5102.68080808]
Kepler-1258 b,2341.0,13.929,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0201,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-1206 b,2486.0,15.971,Super Earth,2016,3.33,Earth,1.64,Earth,0.0201,0.003285421,0.0,Transit,0,[2568.35918367]
TOI-2427 b,93.0,10.295,Super Earth,2022,3.89,Earth,1.8,Earth,0.0202,0.003559206,0.0,Transit,2,[564.23182711]
WASP-18 b,403.0,9.28,Gas Giant,2009,10.2,Jupiter,1.24,Jupiter,0.02024,0.0024640656,0.01,Transit,2,[564.23182711]
Kepler-1589 b,4936.0,15.074,Super Earth,2016,1.32,Earth,1.09,Earth,0.0205,0.0027378509,0.0,Transit,1,[5102.68080808]
Kepler-1312 c,976.0,12.491,Super Earth,2021,1.07,Earth,1.027,Earth,0.0209,0.003011636,0.0,Transit,2,[564.23182711]
L 168-9 b,82.0,11.005,Super Earth,2020,4.6,Earth,1.39,Earth,0.02091,0.003832991,0.21,Transit,2,[564.23182711]
Kepler-756 b,2779.0,15.986,Super Earth,2016,1.46,Earth,1.12,Earth,0.0219,0.003285421,0.0,Transit,0,[2568.35918367]
Kepler-617 b,565.0,15.549,Super Earth,2016,2.3,Earth,1.32,Earth,0.0219,0.0046543465,0.0,Transit,2,[564.23182711]
L 98-59 b,35.0,11.685,Terrestrial,2019,0.4,Earth,0.85,Earth,0.02191,0.0062970566,0.1,Transit,2,[564.23182711]
Kepler-1531 b,2174.0,13.202,Super Earth,2016,1.41,Earth,1.11,Earth,0.022,0.003011636,0.0,Transit,0,[2568.35918367]
WASP-4 b,872.0,12.483,Gas Giant,2007,1.186,Jupiter,1.321,Jupiter,0.0226,0.003559206,0.0,Transit,2,[564.23182711]
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0.0,Radial Velocity,2,[564.23182711]
OGLE-TR-113 b,1848.0,15.8485,Gas Giant,2004,1.26,Jupiter,1.093,Jupiter,0.02289,0.003832991,0.15,Transit,0,[2568.35918367]
Kepler-198 d,1616.0,13.684,Super Earth,2016,2.96,Earth,1.53,Earth,0.0229,0.003559206,0.0,Transit,0,[2568.35918367]
WASP-77 A b,343.0,10.294,Gas Giant,2012,1.667,Jupiter,1.23,Jupiter,0.02335,0.003832991,0.01,Transit,2,[564.23182711]
WASP-46 b,1224.0,13.043,Gas Giant,2011,1.91,Jupiter,1.174,Jupiter,0.02335,0.003832991,0.022,Transit,2,[564.23182711]
Kepler-1106 b,3558.0,14.863,Super Earth,2016,3.36,Earth,1.65,Earth,0.0239,0.003559206,0.0,Transit,0,[2568.35918367]
Kepler-1372 b,4251.0,15.667,Super Earth,2016,2.15,Earth,1.27,Earth,0.024,0.003559206,0.0,Transit,1,[5102.68080808]
Kepler-1565 b,2055.0,15.381,Super Earth,2016,1.81,Earth,1.19,Earth,0.0241,0.0041067763,0.0,Transit,0,[2568.35918367]
K2-104 b,617.0,15.989,Super Earth,2016,3.86,Earth,1.79,Earth,0.0242,0.0054757018,0.09,Transit,2,[564.23182711]
Kepler-1373 b,5544.0,14.328,Super Earth,2016,1.65,Earth,1.16,Earth,0.0242,0.003559206,0.0,Transit,1,[5102.68080808]
WASP-135 b,973.0,13.181,Gas Giant,2015,1.9,Jupiter,1.3,Jupiter,0.0243,0.003832991,0.0,Transit,2,[564.23182711]
TOI-674 b,150.0,14.203,Neptune-like,2021,23.6,Earth,0.468,Jupiter,0.025,0.0054757018,0.0,Transit,2,[564.23182711]
TOI-544 b,134.0,10.777,Super Earth,2022,4.78,Earth,2.03,Earth,0.0251,0.0041067763,0.0,Transit,2,[564.23182711]
Kepler-1082 b,2412.0,13.444,Super Earth,2016,1.46,Earth,1.12,Earth,0.0257,0.0041067763,0.0,Transit,0,[2568.35918367]
